Price,Bedrooms,Bathrooms,Land_Area,Year,Status,Furnished,Address,Property_Type
70000.0,1.0,2.0,148.0,2025.0,For Rent,Yes,Yeka,Apartment
100000.0,3.0,2.0,148.0,2025.0,For Rent,Yes,Lemi Kura,Apartment
31000000.0,5.0,3.0,350.0,2025.0,For Sale,No,Lemi Kura,Villa
9500000.0,3.0,2.0,148.0,2025.0,For Sale,No,Yeka,Apartment
15000000.0,3.0,2.0,120.0,2025.0,For Sale,No,Kolfe Keranio,Villa
18000000.0,3.0,2.0,140.0,2025.0,For Sale,No,Kolfe Keranio,Villa
80000.0,1.0,1.0,148.0,2025.0,For Rent,Yes,Bole,Apartment
85000.0,1.0,1.0,148.0,2025.0,For Rent,Yes,Yeka,Apartment
80000.0,1.0,1.0,148.0,2025.0,For Rent,Yes,Bole,Apartment
240000.0,3.0,2.0,148.0,2025.0,For Rent,Yes,Bole,Apartment
170000.0,3.0,2.0,148.0,2025.0,For Rent,Yes,Bole,Apartment
19000000.0,3.0,2.0,210.0,2025.0,For Sale,No,Yeka,Villa
12000000.0,3.0,2.0,148.0,2025.0,For Sale,No,Lemi Kura,Apartment
90000.0,5.0,4.0,500.0,2025.0,For Rent,No,Bole,Apartment
85000.0,3.0,3.0,320.0,2025.0,For Rent,Yes,Bole,Apartment
111000.0,1.0,1.0,450.0,2025.0,For Rent,Yes,Bole,Apartment
100000.0,3.0,3.0,380.0,2025.0,For Rent,Yes,Yeka,Apartment
100000.0,2.0,2.0,410.0,2025.0,For Rent,Yes,Yeka,Apartment
110000.0,2.0,2.0,340.0,2025.0,For Rent,Yes,Kirkos,Apartment
110000.0,4.0,3.0,470.0,2024.0,For Rent,Yes,Lideta,Apartment
80000.0,1.0,1.0,390.0,2025.0,For Rent,Yes,Bole,Apartment
82000.0,3.0,2.0,310.0,2025.0,For Rent,No,Lemi Kura,Apartment
83000.0,2.0,2.0,480.0,2025.0,For Rent,Yes,Bole,Apartment
84000.0,4.0,3.0,350.0,2025.0,For Rent,No,Kirkos,Apartment
86000.0,3.0,3.0,420.0,2025.0,For Rent,Yes,Yeka,Apartment
87000.0,2.0,1.0,370.0,2025.0,For Rent,Yes,Bole,Apartment
88000.0,1.0,2.0,460.0,2025.0,For Rent,No,Lideta,Apartment
89000.0,5.0,4.0,330.0,2025.0,For Rent,Yes,Bole,Apartment
91000.0,3.0,2.0,490.0,2025.0,For Rent,No,Kirkos,Apartment
92000.0,2.0,3.0,300.0,2025.0,For Rent,Yes,Yeka,Apartment
93000.0,4.0,3.0,440.0,2024.0,For Rent,Yes,Bole,Apartment
94000.0,1.0,1.0,360.0,2025.0,For Rent,No,Lemi Kura,Apartment
95000.0,3.0,2.0,475.0,2025.0,For Rent,Yes,Bole,Apartment
96000.0,2.0,2.0,315.0,2025.0,For Rent,Yes,Kirkos,Apartment
97000.0,5.0,4.0,430.0,2025.0,For Rent,No,Yeka,Apartment
98000.0,3.0,3.0,385.0,2025.0,For Rent,Yes,Bole,Apartment
99000.0,2.0,1.0,455.0,2025.0,For Rent,Yes,Lideta,Apartment
101000.0,4.0,3.0,325.0,2025.0,For Rent,No,Bole,Apartment
102000.0,1.0,2.0,495.0,2025.0,For Rent,Yes,Kirkos,Apartment
103000.0,3.0,2.0,340.0,2025.0,For Rent,Yes,Yeka,Apartment
104000.0,2.0,3.0,410.0,2024.0,For Rent,No,Bole,Apartment
105000.0,5.0,4.0,370.0,2025.0,For Rent,Yes,Lemi Kura,Apartment
106000.0,3.0,3.0,465.0,2025.0,For Rent,Yes,Bole,Apartment
107000.0,2.0,2.0,305.0,2025.0,For Rent,No,Kirkos,Apartment
108000.0,4.0,1.0,450.0,2025.0,For Rent,Yes,Yeka,Apartment
109000.0,1.0,2.0,390.0,2025.0,For Rent,Yes,Bole,Apartment
112000.0,3.0,3.0,330.0,2025.0,For Rent,No,Lideta,Apartment
113000.0,2.0,2.0,480.0,2025.0,For Rent,Yes,Bole,Apartment
114000.0,5.0,4.0,355.0,2025.0,For Rent,Yes,Kirkos,Apartment
115000.0,3.0,2.0,420.0,2025.0,For Rent,No,Yeka,Apartment
116000.0,2.0,3.0,310.0,2025.0,For Rent,Yes,Bole,Apartment
117000.0,4.0,3.0,475.0,2024.0,For Rent,Yes,Lemi Kura,Apartment
